,Unnamed: 0,reject,pvals,pvals_corrected,tstats,effectsize,alpha,alpha_corrected,step,dimension_step
1,1,False,0.9999996384662208,1.0,-5.293528037702991,-0.7505059827286347,0.05,0.025,1,2-3
0,0,False,0.691063845943864,1.0,-0.5004452391109807,-0.0709521406717306,0.05,0.025,0,1-2
1,1,False,0.9276069696278448,1.0,-1.469802811571211,-0.2083857487216079,0.05,0.025,1,2-3
0,0,False,0.996216557213119,1.0,-2.726732787094785,-0.3865908058748969,0.05,0.025,0,1-2
1,1,False,0.9534507808145264,1.0,-1.6956320187289255,-0.2404033690760424,0.05,0.025,1,2-3
0,0,False,0.9999999941773428,1.0,-6.225359476225602,-0.8826192093942508,0.05,0.025,0,1-2
1,1,False,0.9871017177033218,1.0,-2.2633597897212283,-0.3208946946449544,0.05,0.025,1,2-3
0,0,False,0.9991298560317626,1.0,-3.2189217282993656,-0.4563723848853291,0.05,0.025,0,1-2
1,1,False,0.9999209700847094,1.0,-3.92892317385944,-0.557034991911028,0.05,0.025,1,2-3
0,0,False,0.99999998132108,1.0,-5.968828434191057,-0.8462487433399932,0.05,0.025,0,1-2
1,1,False,0.7394673738516275,1.0,-0.6439990715634597,-0.0913049203929013,0.05,0.025,1,2-3
0,0,False,0.9999988887538568,1.0,-5.026589940276814,-0.712660024851461,0.05,0.025,0,1-2
1,1,False,0.9615968518630488,1.0,-1.7881789495933955,-0.2535244907178383,0.05,0.025,1,2-3
0,0,False,0.9999850006173732,0.9999850006173732,-4.375812321526788,-0.6203940553847677,0.05,0.025,0,1-2
1,1,False,0.0542987162189647,0.1085974324379294,1.619145428538968,0.2295592509137845,0.05,0.025,1,2-3
0,0,False,0.558987944281663,1.0,-0.1487873210441199,-0.0210947734294485,0.05,0.025,0,1-2
1,1,False,0.9999829622282804,1.0,-4.342546188868236,-0.6156776485943125,0.05,0.025,1,2-3
0,0,False,0.1073019724673913,0.2146039449347827,1.249017480305607,0.1770832391602415,0.05,0.025,0,1-2
1,1,False,0.999999998896298,0.999999998896298,-6.5844394023904735,-0.9335288543314356,0.05,0.025,1,2-3
0,0,False,0.9922886151526747,1.0,-2.4650056968480825,-0.349483654335648,0.05,0.025,0,1-2
1,1,False,0.8718700632830142,1.0,-1.1418760420586702,-0.1618929369969665,0.05,0.025,1,2-3
0,0,False,0.9992618826186872,1.0,-3.27082476265594,-0.4637310949042302,0.05,0.025,0,1-2
1,1,False,0.9998982827595776,1.0,-3.858298564687593,-0.5470219738758306,0.05,0.025,1,2-3
0,0,False,0.9992285349275984,1.0,-3.256941956162728,-0.4617628179335578,0.05,0.025,0,1-2
1,1,False,0.9968217085320016,1.0,-2.788175891349375,-0.3953020882204417,0.05,0.025,1,2-3
0,0,False,0.5694195992791837,1.0,-0.1753525132506228,-0.0248611340761313,0.05,0.025,0,1-2
1,1,False,0.982397028469823,1.0,-2.1352762503825446,-0.3027352626219113,0.05,0.025,1,2-3
0,0,False,0.9209618398368328,1.0,-1.4223206469861016,-0.20165382091463,0.05,0.025,0,1-2
1,1,False,0.9465409467672378,1.0,-1.6269897513085916,-0.2306714035513309,0.05,0.025,1,2-3
0,0,False,0.9999915183711184,1.0,-4.5228658203368814,-0.6412430109116083,0.05,0.025,0,1-2
1,1,False,0.9615179660251808,1.0,-1.7872082416956854,-0.2533868656633332,0.05,0.025,1,2-3
0,0,False,0.9999982221832124,1.0,-4.912669660358599,-0.6965086318629314,0.05,0.025,0,1-2
1,1,False,0.9988816005967844,1.0,-3.13864507492047,-0.4449909190264202,0.05,0.025,1,2-3
0,0,False,0.6950122950617403,1.0,-0.5117359566862769,-0.0725529163791993,0.05,0.025,0,1-2
1,1,False,0.9991982642948428,1.0,-3.2448176430484734,-0.4600438566918465,0.05,0.025,1,2-3
0,0,False,0.9999110456249816,1.0,-3.89591933499647,-0.5523557726184786,0.05,0.025,0,1-2
1,1,False,0.9979846332013276,1.0,-2.9445475818509084,-0.417472158618655,0.05,0.025,1,2-3
0,0,False,0.2625516926536996,0.5251033853073992,0.6377582741897272,0.0904201124287942,0.05,0.025,0,1-2
1,1,False,0.999887340833606,0.999887340833606,-3.829472328386952,-0.5429350468492633,0.05,0.025,1,2-3
0,0,False,0.9530266154743868,1.0,-1.6911880282377325,-0.2397733088539987,0.05,0.025,0,1-2
1,1,False,0.99211193170986,1.0,-2.456367001957145,-0.3482588771827854,0.05,0.025,1,2-3
0,0,False,0.9999999997882508,0.9999999997882508,-6.934243124773973,-0.9831233373604672,0.05,0.025,0,1-2
1,1,False,0.3389788505265932,0.6779577010531865,0.416483663940612,0.0590482338564897,0.05,0.025,1,2-3
0,0,False,0.999999945457018,1.0,-5.72882689196389,-0.8122217972234015,0.05,0.025,0,1-2
1,1,False,0.9753297627162976,1.0,-1.9900740157027836,-0.2821487756785049,0.05,0.025,1,2-3
0,0,False,0.9999999312642912,1.0,-5.67644532642193,-0.804795241995219,0.05,0.025,0,1-2
